b0001,-1
b0002,-1
b0003,-1
b0004,-1
b0005,-1
b0006,-1
b0007,-1
b0008,1
b0009,-1
b0010,-1
b0011,-1
b0012,-1
b0013,1
b0014,-1
b0015,-1
b0016,1
b0017,-1
b0018,1
b0019,-1
b0020,-1
b0021,-1
b0022,1
b0023,1
b0024,-1
b0025,-1
b0026,-1
b0027,-1
b0028,-1
b0029,-1
b0030,1
b0031,-1
b0032,1
b0033,1
b0034,-1
b0035,-1
b0036,-1
b0037,1
b0038,-1
b0039,-1
b0040,1
b0041,1
b0042,-1
b0043,1
b0044,-1
b0045,-1
b0046,1
b0047,-1
b0048,1
b0049,-1
b0050,-1
b0051,-1
b0052,-1
b0053,-1
b0054,1
b0055,-1
b0056,-1
b0057,1
b0058,-1
b0059,-1
b0060,-1
b0061,-1
b0062,-1
b0063,1
b0064,-1
b0065,-1
b0066,-1
b0067,-1
b0068,1
b0069,-1
b0070,-1
b0071,-1
b0072,-1
b0073,-1
b0074,-1
b0075,-1
b0076,-1
b0077,1
b0078,-1
b0079,-1
b0080,-1
b0081,1
b0082,-1
b0083,-1
b0084,-1
b0085,-1
b0086,1
b0087,-1
b0088,-1
b0089,-1
b0090,-1
b0091,-1
b0092,-1
b0093,-1
b0094,-1
b0095,-1
b0096,1
b0097,-1
b0098,-1
b0099,-1
b0100,-1
b0101,-1
b0102,-1
b0103,-1
b0104,-1
b0105,-1
b0106,1
b0107,-1
b0108,-1
b0109,-1
b0110,-1
b0111,-1
b0112,-1
b0113,-1
b0114,-1
b0115,-1
b0116,-1
b0117,1
b0118,-1
b0119,-1
b0120,1
b0121,-1
b0122,-1
b0123,-1
b0124,-1
b0125,-1
b0126,-1
b0127,-1
b0128,-1
b0129,-1
b0130,1
b0131,-1
b0132,-1
b0133,-1
b0134,-1
b0135,-1
b0136,1
b0137,1
b0138,-1
b0139,-1
b0140,1
b0141,-1
b0142,-1
b0143,-1
b0144,-1
b0145,-1
b0146,-1
b0147,-1
b0148,1
b0149,-1
b0150,-1
b0151,-1
b0152,-1
b0153,-1
b0154,-1
b0155,1
b0156,-1
b0157,-1
b0158,-1
b0159,1
b0160,-1
b0161,-1
b0162,-1
b0163,-1
b0164,1
b0165,-1
b0166,-1
b0167,-1
b0168,-1
b0169,-1
b0170,-1
b0171,1
b0172,-1
b0173,-1
b0174,-1
b0175,-1
b0176,1
b0177,-1
b0178,-1
b0179,-1
b0180,-1
b0181,-1
b0182,-1
b0183,-1
b0184,-1
b0185,-1
b0186,-1
b0187,-1
b0188,-1
b0189,-1
b0190,1
b0191,-1
b0192,-1
b0193,-1
b0194,-1
b0195,-1
b0196,-1
b0197,1
b0198,-1
b0199,-1
b0200,-1
b0201,-1
b0202,-1
b0203,-1
b0204,-1
b0205,-1
b0206,-1
b0207,-1
b0208,1
b0209,-1
b0210,-1
b0211,-1
b0212,-1
b0213,-1
b0214,-1
b0215,-1
b0216,-1
b0217,-1
b0218,-1
b0219,-1
b0220,-1
b0221,1
b0222,-1
b0223,-1
b0224,1
b0225,-1
b0226,-1
b0227,-1
b0228,-1
b0229,-1
b0230,-1
b0231,-1
b0232,1
b0233,1
b0234,-1
b0235,1
b0236,-1
b0237,-1
b0238,1
b0239,1
b0240,-1
b0241,-1
b0242,1
b0243,1
b0244,-1
b0245,-1
b0246,-1
b0247,-1
b0248,1
b0249,-1
b0250,-1
b0251,1
b0252,-1
b0253,1
b0254,-1
b0255,-1
b0256,-1
b0257,1
b0258,-1
b0259,-1
b0260,-1
b0261,-1
b0262,1
b0263,1
b0264,-1
b0265,1
b0266,-1
b0267,1
b0268,-1
b0269,-1
b0270,-1
b0271,1
b0272,-1
b0273,1
b0274,-1
b0275,-1
b0276,-1
b0277,-1
b0278,1
b0279,1
b0280,1
b0281,-1
b0282,-1
b0283,-1
b0284,1
b0285,-1
b0286,-1
b0287,-1
b0288,-1
b0289,-1
b0290,-1
b0291,-1
b0292,1
b0293,-1
b0294,-1
b0295,1
b0296,-1
b0297,-1
b0298,-1
b0299,1
b0300,-1
b0301,-1
b0302,-1
b0303,-1
b0304,-1
b0305,-1
b0306,-1
b0307,1
b0308,-1
b0309,-1
b0310,-1
b0311,-1
b0312,-1
b0313,-1
b0314,-1
b0315,-1
b0316,-1
b0317,-1
b0318,1
b0319,1
b0320,-1
b0321,-1
b0322,-1
b0323,-1
b0324,-1
b0325,-1
b0326,-1
b0327,1
b0328,-1
b0329,-1
b0330,-1
b0331,-1
b0332,-1
b0333,-1
b0334,1
b0335,1
b0336,-1
b0337,-1
b0338,-1
b0339,-1
b0340,-1
b0341,1
b0342,1
b0343,-1
b0344,1
b0345,-1
b0346,-1
b0347,-1
b0348,-1
b0349,1
b0350,-1
b0351,-1
b0352,-1
b0353,-1
b0354,-1
b0355,-1
b0356,-1
b0357,-1
b0358,-1
b0359,-1
b0360,-1
b0361,1
b0362,-1
b0363,-1
b0364,-1
b0365,1
b0366,-1
b0367,1
b0368,-1
b0369,1
b0370,-1
b0371,-1
b0372,-1
b0373,-1
b0374,-1
b0375,-1
b0376,-1
b0377,-1
b0378,-1
b0379,-1
b0380,-1
b0381,-1
b0382,-1
b0383,-1
b0384,1
b0385,1
b0386,-1
b0387,-1
b0388,-1
b0389,-1
b0390,1
b0391,-1
b0392,-1
b0393,-1
b0394,-1
b0395,1
b0396,-1
b0397,1
b0398,-1
b0399,-1
b0400,-1
b0401,-1
b0402,-1
b0403,-1
b0404,-1
b0405,-1
b0406,-1
b0407,-1
b0408,1
b0409,1
b0410,-1
b0411,-1
b0412,-1
b0413,1
b0414,-1
b0415,-1
b0416,-1
b0417,-1
b0418,1
b0419,-1
b0420,-1
b0421,-1
b0422,1
b0423,-1
b0424,-1
b0425,-1
b0426,-1
b0427,1
b0428,1
b0429,-1
b0430,-1
b0431,-1
b0432,-1
b0433,-1
b0434,-1
b0435,-1
b0436,1
b0437,1
b0438,-1
b0439,-1
b0440,-1
b0441,-1
b0442,-1
b0443,-1
b0444,1
b0445,-1
b0446,1
b0447,-1
b0448,-1
b0449,-1
b0450,1
b0451,-1
b0452,-1
b0453,-1
b0454,-1
b0455,1
b0456,-1
b0457,-1
b0458,-1
b0459,-1
b0460,-1
b0461,-1
b0462,-1
b0463,-1
b0464,-1
b0465,1
b0466,-1
b0467,1
b0468,1
b0469,-1
b0470,-1
b0471,1
b0472,-1
b0473,-1
b0474,1
b0475,-1
b0476,1
b0477,-1
b0478,-1
b0479,-1
b0480,-1
b0481,-1
b0482,-1
b0483,-1
b0484,1
b0485,-1
b0486,-1
b0487,-1
b0488,-1
b0489,-1
b0490,-1
a0001,1
a0002,1
a0003,1
a0004,1
a0005,1
a0006,1
a0007,-1
a0008,1
a0009,-1
a0010,1
a0011,-1
a0012,-1
a0013,1
a0014,1
a0015,1
a0016,-1
a0017,1
a0018,1
a0019,-1
a0020,1
a0021,1
a0022,1
a0023,1
a0024,1
a0025,-1
a0026,1
a0027,-1
a0028,-1
a0029,-1
a0030,1
a0031,1
a0032,-1
a0033,1
a0034,1
a0035,-1
a0036,1
a0037,1
a0038,-1
a0039,1
a0040,1
a0041,1
a0042,1
a0043,1
a0044,1
a0045,1
a0046,1
a0047,1
a0048,1
a0049,-1
a0050,-1
a0051,1
a0052,1
a0053,-1
a0054,1
a0055,-1
a0056,1
a0057,1
a0058,1
a0059,1
a0060,1
a0061,1
a0062,1
a0063,1
a0064,1
a0065,1
a0066,1
a0067,1
a0068,-1
a0069,-1
a0070,-1
a0071,-1
a0072,1
a0073,1
a0074,1
a0075,1
a0076,1
a0077,1
a0078,1
a0079,1
a0080,-1
a0081,-1
a0082,1
a0083,1
a0084,1
a0085,-1
a0086,-1
a0087,1
a0088,-1
a0089,1
a0090,1
a0091,-1
a0092,1
a0093,-1
a0094,-1
a0095,1
a0096,1
a0097,1
a0098,1
a0099,1
a0100,1
a0101,1
a0102,-1
a0103,1
a0104,1
a0105,-1
a0106,-1
a0107,1
a0108,-1
a0109,-1
a0110,1
a0111,1
a0112,1
a0113,1
a0114,1
a0115,1
a0116,1
a0117,1
a0118,-1
a0119,1
a0120,1
a0121,1
a0122,1
a0123,1
a0124,1
a0125,-1
a0126,1
a0127,-1
a0128,1
a0129,-1
a0130,1
a0131,1
a0132,1
a0133,1
a0134,1
a0135,1
a0136,-1
a0137,1
a0138,1
a0139,-1
a0140,-1
a0141,-1
a0142,1
a0143,1
a0144,1
a0145,1
a0146,1
a0147,1
a0148,1
a0149,1
a0150,1
a0151,1
a0152,1
a0153,-1
a0154,-1
a0155,-1
a0156,1
a0157,1
a0158,1
a0159,1
a0160,1
a0161,-1
a0162,1
a0163,1
a0164,1
a0165,-1
a0166,1
a0167,1
a0168,1
a0169,1
a0170,1
a0171,-1
a0172,1
a0173,1
a0174,1
a0175,1
a0176,1
a0177,1
a0178,-1
a0179,-1
a0180,1
a0181,-1
a0182,1
a0183,1
a0184,-1
a0185,-1
a0186,1
a0187,1
a0188,1
a0189,-1
a0190,1
a0191,1
a0192,1
a0193,-1
a0194,1
a0195,-1
a0196,-1
a0197,1
a0198,1
a0199,-1
a0200,1
a0201,1
a0202,1
a0203,1
a0204,-1
a0205,1
a0206,1
a0207,1
a0208,-1
a0209,1
a0210,-1
a0211,-1
a0212,-1
a0213,1
a0214,1
a0215,1
a0216,1
a0217,1
a0218,1
a0219,1
a0220,1
a0221,1
a0222,1
a0223,1
a0224,1
a0225,1
a0226,1
a0227,-1
a0228,1
a0229,-1
a0230,1
a0231,-1
a0232,1
a0233,1
a0234,1
a0235,-1
a0236,1
a0237,1
a0238,-1
a0239,1
a0240,1
a0241,-1
a0242,1
a0243,-1
a0244,1
a0245,1
a0246,1
a0247,1
a0248,1
a0249,1
